Java HotSpot(TM) 64-Bit Server VM (25.45-b02) for bsd-amd64 JRE (1.8.0_45-b14), built on Apr 10 2015 10:46:38 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(1936628k free)

/proc/meminfo:

CommandLine flags: -XX:+CMSClassUnloadingEnabled -XX:+CMSScavengeBeforeRemark -XX:+DisableExplicitGC -XX:InitialHeapSize=1073741824 -XX:+ManagementServer -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=348966912 -XX:MaxTenuringThreshold=6 -XX:NewSize=348966912 -XX:OldPLABSize=16 -XX:OldSize=697933824 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2015-08-18T15:46:44.315+0500: 5631.297: [GC (Allocation Failure) 5631.297: [ParNew: 274750K->4526K(306688K), 0.0529774 secs] 290067K->20257K(1014528K), 0.0530643 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2015-08-18T15:48:24.553+0500: 5731.537: [GC (Allocation Failure) 5731.537: [ParNew: 277166K->7701K(306688K), 0.0315436 secs] 292897K->23433K(1014528K), 0.0316280 secs] [Times: user=0.04 sys=0.00, real=0.03 secs] 
2015-08-18T15:50:06.032+0500: 5833.017: [GC (Allocation Failure) 5833.017: [ParNew: 280341K->9633K(306688K), 0.0323797 secs] 296073K->25366K(1014528K), 0.0324661 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2015-08-18T15:51:40.557+0500: 5927.544: [GC (Allocation Failure) 5927.544: [ParNew: 282273K->12960K(306688K), 0.0399795 secs] 298006K->28694K(1014528K), 0.0400697 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2015-08-18T15:53:38.887+0500: 6045.876: [GC (Allocation Failure) 6045.876: [ParNew: 285600K->14496K(306688K), 0.0250303 secs] 301334K->30232K(1014528K), 0.0251089 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2015-08-18T15:55:44.579+0500: 6171.570: [GC (Allocation Failure) 6171.570: [ParNew: 287136K->15214K(306688K), 0.0326310 secs] 302872K->31488K(1014528K), 0.0327354 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2015-08-18T15:58:15.027+0500: 6322.021: [GC (Allocation Failure) 6322.021: [ParNew: 287854K->9295K(306688K), 0.0328597 secs] 304128K->28223K(1014528K), 0.0329410 secs] [Times: user=0.06 sys=0.01, real=0.04 secs] 
2015-08-18T16:00:39.397+0500: 6466.393: [GC (Allocation Failure) 6466.393: [ParNew: 281935K->6993K(306688K), 0.0389211 secs] 300863K->27733K(1014528K), 0.0389993 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2015-08-18T16:02:33.281+0500: 6580.279: [GC (Allocation Failure) 6580.279: [ParNew: 279633K->3618K(306688K), 0.0209201 secs] 300373K->25993K(1014528K), 0.0210070 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2015-08-18T16:04:35.788+0500: 6702.788: [GC (Allocation Failure) 6702.788: [ParNew: 276258K->2481K(306688K), 0.0134185 secs] 298633K->26392K(1014528K), 0.0135129 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
